fn,dp,lo,pr,cy,cm,my,ef
iife-000.js,[],0,2,1,1,100,0
dom-000.js,[],1,0,1,1,95.09632834,11.60964047
google-maps-url.js,[],1,1,1,1,93.49540781,25.84962501
date-000.js,[],1,1,2,3,90.46452531,112.2941969
mocha-mdn-000.js,"[{""line"":1,""path"":""assert"",""type"":""CommonJS""}]",1.526315789,0.263157895,1,3,87.64837674,64.89726589
mocha-mdn-110.js,"[{""line"":1,""path"":""assert"",""type"":""CommonJS""}]",1.428571429,0.285714286,1.285714286,4,87.12580161,113.3732007
mocha-mdn-001.js,"[{""line"":1,""path"":""assert"",""type"":""CommonJS""}]",1.741935484,0.161290323,1.064516129,6,85.3014978,111.7332243
request-000.js,[],2,0,1,1,84.00614465,111.4525486
animate-text-000.js,[],2,1,1,1,82.96119763,187.9305417
parse-002.js,"[{""line"":1,""path"":""https"",""type"":""CommonJS""},{""line"":2,""path"":""cheerio"",""type"":""CommonJS""},{""line"":6,""path"":""jsdom"",""type"":""CommonJS""}]",2.166666667,1.5,1,1,82.84124904,136.5781617
click-couinter-000.js,[],2,0,1,1,81.91481627,317.114565
parse-001.js,"[{""line"":1,""path"":""http"",""type"":""CommonJS""}]",2.4,1.6,1,1,81.7982601,141.7284319
get-basic-007.js,"[{""line"":1,""path"":""http"",""type"":""CommonJS""},{""line"":2,""path"":""cheerio"",""type"":""CommonJS""}]",2.75,1.25,1,1,80.5264905,140.465367
get-basic-006.js,"[{""line"":1,""path"":""http"",""type"":""CommonJS""}]",2.818181818,1.272727273,1,1,80.29688651,140.295773
jq-max-width-height-000.js,[],3,0.5,1.5,2,78.46371602,253.8950317
get-basic-010.js,"[{""line"":1,""path"":""http"",""type"":""CommonJS""}]",3.4375,1.3125,1.1875,4,77.38313226,232.3133544
reflect-properties.js,[],3.333333333,0.833333333,2.333333333,13,75.56883412,636.2374541
jsdom-001.js,"[{""line"":1,""path"":""jsdom"",""type"":""CommonJS""}]",4,0,1,1,75.17536163,345.731232
css-class-000.js,[],4,0,1,1,74.85443862,405.9066433
text-excerpt-000.js,[],3,2,2,2,74.66096373,1667.281988
compare.js,"[{""line"":1,""path"":""fs"",""type"":""CommonJS""}]",4,3,2.5,4,73.77323901,655.3052161
index.js,"[{""line"":1,""path"":""express"",""type"":""CommonJS""}]",5,0,1,1,73.57629458,267.2539796
express-000.js,"[{""line"":1,""path"":""express"",""type"":""CommonJS""}]",5,0,1,1,73.57629458,267.2539796
run-001.js,[],4.25,0.5,2,6,72.87021943,784.0308454
jsdom-000.js,"[{""line"":2,""path"":""jsdom"",""type"":""CommonJS""}]",5,0,1,1,72.2969536,506.6750814
run-002.js,[],6,0.5,3,5,68.34230712,1433.223612
embed-youtube-000.js,[],6,2,1,1,68.23681971,1626.699589
highlight-000.js,[],6,2.5,3,5,67.55213143,2127.64137
test.js,[],7,0,2,2,66.8130246,1524.472016
reflect.js,"[{""line"":35,""path"":""./reflect-properties.js"",""type"":""CommonJS""}]",8.142857143,0.857142857,2.714285714,14,63.18150641,4483.987146
reflect-browser-not-core-not-jsdom.js,[],9,0,1,1,61.91522542,5622.217274
animate-fade-000.js,[],11,1,2,2,60.80341039,3616.378369
date-valid-000.js,[],10.5,2,3.5,6,60.44851548,5184.345056
breakpoint-000.js,[],12,1,4,6,58.95665052,5755.055545
reflect.js,[],12.5,1,4,7,58.72308137,5330.771222
dynamic-menu-000.js,[],14,2,4,4,56.33087685,10306.53433
reflect-properties-extract.js,[],1970,0,1,1,0.99383363,782617.4551
